,poi_id,sg_id,placekey,parent_placekey,name,brands,top_category,sub_category,naics,lat,lon,address,city,region,zipcode,is_shared_polygon,has_parking_lot,is_synthetic,area_sqft
3284017,3284017,,zzy-223@8gk-t8n-9mk,223-223@8gk-t8m-kmk,Club4Fitness,Club4Fitness,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.421562,-86.685684,5269 U.s. 280,Birmingham,AL,35242,,,,
3284279,3284279,,224-222@8gk-trj-389,,Allstate Insurance,Allstate Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,33.364193,-86.76585,1905 Indian Lake Dr Ste 109,Birmingham,AL,35244,,,,
3284363,3284363,,224-224@8gk-tdw-4d9,224-223@8gk-tdw-4d9,Cornerstone Schools Of Alabama Inc,,Religious Organizations,Religious Organizations,813110,33.540173,-86.75351,118 55th St N,Birmingham,AL,35212,,,,
3284752,3284752,,223-222@8gk-tsx-99f,,TMB Tax Services,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,33.47394,-86.82251,301 Beacon Pkwy W Ste 120,Birmingham,AL,35209,,,,
3285815,3285815,,223-223@8gk-tc6-6p9,,Water Shop,,Health and Personal Care Stores,Food (Health) Supplement Stores,446191,33.58322,-86.709625,8949 Roebuck Blvd,Birmingham,AL,35206,,,,
3286577,3286577,,222-222@8gk-tvy-xwk,,Arrington Middle Sch,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.47443,-86.87076,2101 Jefferson Ave SW,Birmingham,AL,35211,,,,
3287826,3287826,,zzw-222@8gk-t95-rx5,,Encompass Health Home Office,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,33.477444,-86.704346,9001 Liberty Pkwy,Birmingham,AL,35242,,,,
3289178,3289178,,223-222@8gk-tc3-dn5,,AAMCO Transmissions,AAMCO Transmissions,Automotive Repair and Maintenance,Automotive Transmission Repair,811113,33.616875,-86.684746,1251 Center Point Pkwy,Birmingham,AL,35215,,,,
3289493,3289493,,zzy-222@8gk-tv4-h89,,Birmingham Massage,,Personal Care Services,Other Personal Care Services,812199,33.516758,-86.801445,101 23rd St N,Birmingham,AL,35203,,,,
3293533,3293533,,zzz-222@8gk-tvz-m6k,,Garden Highlands,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,33.456722,-86.87143,2431 Nabors Dr,Birmingham,AL,35211,,,,
3294143,3294143,,224-222@8gk-tv9-qzz,,Five Points Hot Dogs,,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.500366,-86.79743,1904 11th Ave S,Birmingham,AL,35205,,,,
3298194,3298194,,zzz-222@8gm-95j-z4v,,Smithfield Estates,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,33.539154,-86.86563,1707B Huntington Dr,Birmingham,AL,35214,,,,
