NAME,Total_Population,Median_Household_Income,Mean_Household_Income,Under_5,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_34,Age_35_to_44,Age_45_to_54,Age_55_to_64,Age_65_to_74,Age_75_plus,Income_Less_10k,Income_10k_15k,Income_15k_20k,Income_20k_25k,Income_25k_35k,Income_35k_50k,Income_50k_75k,Income_75k_100k,Income_100k_150k,Income_150k_200k,Income_200k_plus,White_Alone,Black_Alone,American_Indian_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,No_Schooling,High_School_Grad,Associates_Degree,Bachelors_Degree,Graduate_or_Professional_Degree,Total_Male,Total_Female,state,county,tract,block group
"Block Group 1, Census Tract 140.01, Jefferson County, Alabama",1202.0,54779.0,34954100.0,72.0,22.0,39.0,0.0,57.0,0.0,0.0,0.0,49.0,57.0,35.0,64.0,50.0,24.0,7.0,7.0,0.0,64.0,7.0,14.0,45.0,41.0,1154.0,0.0,4.0,0.0,0.0,9.0,35.0,0.0,252.0,61.0,85.0,52.0,637.0,565.0,1,73,14001,1
"Block Group 2, Census Tract 140.01, Jefferson County, Alabama",533.0,91050.0,23689800.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,6.0,13.0,12.0,0.0,13.0,7.0,0.0,12.0,8.0,7.0,26.0,11.0,513.0,0.0,5.0,11.0,0.0,0.0,4.0,0.0,143.0,62.0,70.0,12.0,237.0,296.0,1,73,14001,2
"Block Group 3, Census Tract 140.01, Jefferson County, Alabama",1202.0,66156.0,38852000.0,24.0,21.0,23.0,0.0,0.0,15.0,0.0,0.0,28.0,8.0,29.0,0.0,0.0,4.0,52.0,8.0,58.0,0.0,12.0,4.0,16.0,118.0,1138.0,0.0,26.0,0.0,0.0,0.0,38.0,0.0,472.0,161.0,36.0,0.0,621.0,581.0,1,73,14001,3
"Block Group 4, Census Tract 140.01, Jefferson County, Alabama",648.0,67123.0,22341100.0,7.0,48.0,8.0,6.0,0.0,0.0,17.0,0.0,15.0,4.0,25.0,10.0,6.0,18.0,0.0,0.0,29.0,5.0,0.0,0.0,0.0,53.0,590.0,27.0,0.0,22.0,0.0,0.0,9.0,0.0,229.0,11.0,47.0,0.0,325.0,323.0,1,73,14001,4
"Block Group 1, Census Tract 140.02, Jefferson County, Alabama",2420.0,102426.0,75830800.0,69.0,92.0,37.0,34.0,7.0,0.0,0.0,22.0,78.0,169.0,53.0,57.0,0.0,12.0,22.0,36.0,17.0,9.0,24.0,0.0,44.0,96.0,1591.0,732.0,7.0,32.0,0.0,0.0,58.0,0.0,532.0,200.0,365.0,59.0,1100.0,1320.0,1,73,14002,1
"Block Group 2, Census Tract 140.02, Jefferson County, Alabama",1562.0,61217.0,36756600.0,86.0,38.0,96.0,8.0,50.0,17.0,13.0,0.0,12.0,12.0,137.0,20.0,0.0,12.0,0.0,42.0,13.0,45.0,23.0,11.0,53.0,106.0,894.0,646.0,0.0,0.0,0.0,8.0,14.0,48.0,224.0,123.0,132.0,73.0,820.0,742.0,1,73,14002,2
"Block Group 1, Census Tract 141.04, Jefferson County, Alabama",2443.0,70219.0,88779700.0,99.0,112.0,84.0,73.0,12.0,31.0,0.0,1.0,8.0,24.0,221.0,15.0,1.0,0.0,3.0,53.0,0.0,9.0,32.0,0.0,159.0,257.0,1147.0,1056.0,0.0,104.0,0.0,0.0,136.0,60.0,270.0,172.0,345.0,279.0,1163.0,1280.0,1,73,14104,1
"Block Group 2, Census Tract 141.04, Jefferson County, Alabama",756.0,30536.0,11924500.0,0.0,0.0,63.0,0.0,29.0,0.0,0.0,44.0,42.0,0.0,0.0,70.0,35.0,33.0,28.0,0.0,62.0,11.0,0.0,0.0,0.0,93.0,64.0,638.0,0.0,0.0,0.0,0.0,54.0,0.0,105.0,11.0,119.0,0.0,290.0,466.0,1,73,14104,2
"Block Group 3, Census Tract 141.04, Jefferson County, Alabama",530.0,98370.0,17301000.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,10.0,0.0,6.0,26.0,0.0,0.0,7.0,42.0,0.0,0.0,0.0,143.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,42.0,38.0,0.0,282.0,248.0,1,73,14104,3
"Block Group 1, Census Tract 141.05, Jefferson County, Alabama",1898.0,71225.0,50449700.0,109.0,115.0,162.0,0.0,0.0,24.0,0.0,0.0,142.0,117.0,14.0,53.0,36.0,0.0,0.0,0.0,20.0,26.0,19.0,34.0,64.0,133.0,950.0,857.0,0.0,0.0,0.0,0.0,91.0,0.0,469.0,149.0,158.0,69.0,1072.0,826.0,1,73,14105,1
