segment_id,Purpose,origin_zone,weekday,pickup_time_bin_min,pickup_time_bin,time_bin_trips,time_bin_service_days,trips,service_days,policy_flexible,p_time,p_s_t,peak_time_bin_min,peak_time_bin,peak_time_share,signed_shift_minutes,absolute_shift_minutes,is_peak_time,is_alternative_time,capped_shift_minutes,expected_shift_contribution_minutes,temporal_index_contribution,temporal_eligible,meets_reliability_filter,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,alternative_rank
Nutrition | r32_c20 | Wednesday,Nutrition,r32_c20,Wednesday,480.0,08:00-08:30,2,2,340,52,True,0.0058823529411764705,0.0058823529411764705,750.0,12:30-13:00,0.8,-270.0,270.0,False,True,120.0,1.588235294117647,0.00588235294117647,True,True,0.19999999999999996,237.7941176470588,47.558823529411754,0.1977941176470588,0.19999999999999996,237.7941176470588,0.1977941176470588,2
Nutrition | r32_c20 | Wednesday,Nutrition,r32_c20,Wednesday,780.0,13:00-13:30,1,1,340,52,True,0.0029411764705882353,0.0029411764705882353,750.0,12:30-13:00,0.8,30.0,30.0,False,True,30.0,0.08823529411764705,0.0007352941176470587,True,True,0.19999999999999996,237.7941176470588,47.558823529411754,0.1977941176470588,0.19999999999999996,237.7941176470588,0.1977941176470588,3
Nutrition | r33_c13 | Friday,Nutrition,r33_c13,Friday,510.0,08:30-09:00,40,21,127,51,True,0.31496062992125984,0.31496062992125984,480.0,08:00-08:30,0.48031496062992124,30.0,30.0,False,True,30.0,9.448818897637794,0.07874015748031496,True,True,0.5196850393700787,33.63636363636363,17.48031496062992,0.14566929133858267,0.5196850393700787,33.63636363636363,0.14566929133858267,1
Nutrition | r33_c13 | Friday,Nutrition,r33_c13,Friday,450.0,07:30-08:00,18,14,127,51,True,0.14173228346456693,0.14173228346456693,480.0,08:00-08:30,0.48031496062992124,-30.0,30.0,False,True,30.0,4.251968503937007,0.03543307086614173,True,True,0.5196850393700787,33.63636363636363,17.48031496062992,0.14566929133858267,0.5196850393700787,33.63636363636363,0.14566929133858267,2
Nutrition | r33_c13 | Friday,Nutrition,r33_c13,Friday,540.0,09:00-09:30,8,6,127,51,True,0.06299212598425197,0.06299212598425197,480.0,08:00-08:30,0.48031496062992124,60.0,60.0,False,True,60.0,3.779527559055118,0.031496062992125984,True,True,0.5196850393700787,33.63636363636363,17.48031496062992,0.14566929133858267,0.5196850393700787,33.63636363636363,0.14566929133858267,3
Nutrition | r33_c13 | Monday,Nutrition,r33_c13,Monday,510.0,08:30-09:00,51,26,174,52,True,0.29310344827586204,0.29310344827586204,480.0,08:00-08:30,0.39080459770114945,30.0,30.0,False,True,30.0,8.793103448275861,0.07327586206896551,True,True,0.6091954022988506,35.094339622641506,21.379310344827587,0.1781609195402299,0.6091954022988506,35.094339622641506,0.1781609195402299,1
Nutrition | r33_c13 | Monday,Nutrition,r33_c13,Monday,450.0,07:30-08:00,38,16,174,52,True,0.21839080459770116,0.21839080459770116,480.0,08:00-08:30,0.39080459770114945,-30.0,30.0,False,True,30.0,6.551724137931035,0.05459770114942529,True,True,0.6091954022988506,35.094339622641506,21.379310344827587,0.1781609195402299,0.6091954022988506,35.094339622641506,0.1781609195402299,2
Nutrition | r33_c13 | Monday,Nutrition,r33_c13,Monday,540.0,09:00-09:30,16,11,174,52,True,0.09195402298850575,0.09195402298850575,480.0,08:00-08:30,0.39080459770114945,60.0,60.0,False,True,60.0,5.517241379310345,0.04597701149425288,True,True,0.6091954022988506,35.094339622641506,21.379310344827587,0.1781609195402299,0.6091954022988506,35.094339622641506,0.1781609195402299,3
Nutrition | r33_c13 | Monday,Nutrition,r33_c13,Monday,570.0,09:30-10:00,1,1,174,52,True,0.005747126436781609,0.005747126436781609,480.0,08:00-08:30,0.39080459770114945,90.0,90.0,False,True,90.0,0.5172413793103449,0.004310344827586207,True,True,0.6091954022988506,35.094339622641506,21.379310344827587,0.1781609195402299,0.6091954022988506,35.094339622641506,0.1781609195402299,4
Nutrition | r33_c13 | Thursday,Nutrition,r33_c13,Thursday,510.0,08:30-09:00,40,21,143,51,True,0.27972027972027974,0.27972027972027974,480.0,08:00-08:30,0.3916083916083916,30.0,30.0,False,True,30.0,8.391608391608392,0.06993006993006994,True,True,0.6083916083916083,47.93103448275863,29.160839160839163,0.24125874125874128,0.6083916083916083,47.93103448275863,0.24125874125874128,1
Nutrition | r33_c13 | Thursday,Nutrition,r33_c13,Thursday,570.0,09:30-10:00,18,14,143,51,True,0.1258741258741259,0.1258741258741259,480.0,08:00-08:30,0.3916083916083916,90.0,90.0,False,True,90.0,11.32867132867133,0.09440559440559441,True,True,0.6083916083916083,47.93103448275863,29.160839160839163,0.24125874125874128,0.6083916083916083,47.93103448275863,0.24125874125874128,2
Nutrition | r33_c13 | Thursday,Nutrition,r33_c13,Thursday,450.0,07:30-08:00,16,14,143,51,True,0.11188811188811189,0.11188811188811189,480.0,08:00-08:30,0.3916083916083916,-30.0,30.0,False,True,30.0,3.3566433566433567,0.027972027972027972,True,True,0.6083916083916083,47.93103448275863,29.160839160839163,0.24125874125874128,0.6083916083916083,47.93103448275863,0.24125874125874128,3
