origin_zone,scored_segments,scored_trips,outcome_trips,cancelled_trips,temporal_weighted_mean,geographical_weighted_mean,weighted_cancellation_rate,row,col,longitude_center,latitude_center
r28_c10,1,25,24,8,0.08,0.5344,0.3333333333333333,28,10,-86.97321933851018,33.489361217391306
r27_c18,1,24,24,23,0.3645833333333333,0.0,0.9583333333333334,27,18,-86.76477464404175,33.467622086956524
r33_c22,1,24,24,10,0.4583333333333333,0.07986111111111094,0.4166666666666667,33,22,-86.66055229680754,33.59805686956522
r25_c23,2,24,24,16,0.4270833333333333,0.41904761904761906,0.6666666666666666,25,23,-86.63449670999898,33.424143826086954
r20_c16,2,22,21,18,0.29545454545454547,0.3181818181818182,0.8571428571428571,20,16,-86.81688581765886,33.31544817391305
r29_c19,1,14,14,7,0.21428571428571427,0.0,0.5,29,19,-86.7387190572332,33.51110034782609
r30_c21,1,13,13,7,0.4423076923076924,0.3905325443786981,0.5384615384615384,30,21,-86.68660788361609,33.53283947826087
r43_c19,1,13,12,12,0.5769230769230769,0.6272189349112426,1.0,43,19,-86.7387190572332,33.81544817391305
r24_c22,1,13,13,11,0.2307692307692308,0.42603550295857995,0.8461538461538461,24,22,-86.66055229680754,33.40240469565217
r12_c19,1,13,12,8,0.3461538461538462,0.0,0.6666666666666666,12,19,-86.7387190572332,33.14153513043478
r15_c16,1,12,12,8,0.4583333333333333,0.1527777777777779,0.6666666666666666,15,16,-86.81688581765886,33.20675252173913
r13_c16,1,11,11,8,0.20454545454545456,0.0,0.7272727272727273,13,16,-86.81688581765886,33.163274260869564
r23_c13,1,10,10,9,0.05,0.0,0.9,23,13,-86.89505257808452,33.38066556521739
r26_c19,1,10,10,5,0.225,0.0,0.5,26,19,-86.7387190572332,33.44588295652174
